"Prices","year","month"
11.22,2001,1
11.39,2001,2
12.21,2001,3
11.98,2001,4
12.13,2001,5
12.31,2001,6
12.42,2001,7
12.79,2001,8
12.2,2001,9
12.93,2001,10
12.38,2001,11
12.05,2001,12
11.55,2002,1
11.59,2002,2
12.23,2002,3
12.22,2002,4
12.51,2002,5
12.57,2002,6
12.5,2002,7
12.4,2002,8
12.16,2002,9
12.01,2002,10
11.86,2002,11
11.57,2002,12
11.4,2003,1
11.68,2003,2
11.65,2003,3
11.76,2003,4
11.83,2003,5
12.13,2003,6
12.64,2003,7
12.28,2003,8
12.21,2003,9
12.34,2003,10
12.22,2003,11
12.03,2003,12
11.59,2004,1
11.83,2004,2
12.16,2004,3
12.21,2004,4
12.88,2004,5
12.95,2004,6
12.79,2004,7
12.6,2004,8
12.84,2004,9
12.73,2004,10
12.71,2004,11
12.65,2004,12
12.29,2005,1
12.56,2005,2
12.75,2005,3
12.9,2005,4
13.83,2005,5
13.46,2005,6
13.62,2005,7
14.06,2005,8
13.08,2005,9
13.74,2005,10
13.74,2005,11
14.08,2005,12
13.61,2006,1
13.64,2006,2
14.41,2006,3
14.38,2006,4
15.3,2006,5
15.47,2006,6
15.94,2006,7
16.05,2006,8
15.31,2006,9
14.92,2006,10
15.02,2006,11
15.05,2006,12
14.6,2007,1
14.58,2007,2
14.99,2007,3
14.6,2007,4
15.02,2007,5
15.35,2007,6
15.86,2007,7
15.84,2007,8
15.44,2007,9
15.82,2007,10
15.05,2007,11
15.57,2007,12
15.27,2008,1
15.55,2008,2
15.9,2008,3
17.38,2008,4
17.55,2008,5
16.8,2008,6
17.85,2008,7
17.32,2008,8
17.06,2008,9
16.64,2008,10
16.55,2008,11
16.23,2008,12
17.39,2009,1
16.93,2009,2
17.31,2009,3
17.02,2009,4
17.61,2009,5
17.7,2009,6
17.97,2009,7
17.09,2009,8
17.34,2009,9
16.85,2009,10
16.7,2009,11
16.27,2009,12
15.76,2010,1
16.12,2010,2
16.12,2010,3
16.3,2010,4
16.79,2010,5
16.64,2010,6
16.78,2010,7
16.63,2010,8
15.65,2010,9
16.1,2010,10
16.57,2010,11
16.04,2010,12
16.42,2011,1
16.54,2011,2
16.77,2011,3
17.44,2011,4
17.61,2011,5
18.02,2011,6
18.92,2011,7
18.42,2011,8
18.34,2011,9
18.2,2011,10
17.93,2011,11
17.89,2011,12
18.04,2012,1
17.44,2012,2
17.97,2012,3
17.64,2012,4
18.43,2012,5
18.1,2012,6
19.44,2012,7
19.07,2012,8
17.34,2012,9
17.82,2012,10
17.1,2012,11
17.06,2012,12
17.12,2013,1
17.5,2013,2
17.88,2013,3
18.45,2013,4
18.45,2013,5
18.44,2013,6
19.2,2013,7
18.62,2013,8
18.4,2013,9
17.86,2013,10
18.27,2013,11
18.04,2013,12
17.49,2014,1
17.88,2014,2
17.91,2014,3
18.29,2014,4
20.17,2014,5
20.47,2014,6
20.73,2014,7
20.57,2014,8
19.8,2014,9
20.03,2014,10
19.7,2014,11
18.46,2014,12
19.36,2015,1
19.31,2015,2
19.64,2015,3
19.62,2015,4
20.26,2015,5
21.07,2015,6
21.27,2015,7
21.01,2015,8
20.61,2015,9
20.61,2015,10
20.28,2015,11
19.6,2015,12
19.44,2016,1
19.84,2016,2
20.06,2016,3
20.72,2016,4
20.91,2016,5
21.3,2016,6
21.42,2016,7
21.07,2016,8
4.95,2001,1
5.51,2001,2
5.71,2001,3
5.72,2001,4
5.74,2001,5
5.67,2001,6
5.64,2001,7
5.87,2001,8
5.79,2001,9
5.82,2001,10
6.14,2001,11
6.23,2001,12
6.34,2002,1
6.31,2002,2
6.31,2002,3
6.3,2002,4
6.39,2002,5
6.39,2002,6
6.31,2002,7
6.33,2002,8
6.22,2002,9
6.24,2002,10
6.18,2002,11
6.19,2002,12
6.21,2003,1
6.23,2003,2
6.24,2003,3
6.3,2003,4
6.34,2003,5
6.36,2003,6
6.37,2003,7
6.36,2003,8
6.37,2003,9
6.34,2003,10
6.26,2003,11
6.41,2003,12
6.34,2004,1
6.62,2004,2
6.31,2004,3
6.27,2004,4
6.28,2004,5
6.34,2004,6
6.34,2004,7
6.37,2004,8
6.35,2004,9
6.51,2004,10
6.32,2004,11
6.4,2004,12
6.46,2005,1
6.43,2005,2
6.42,2005,3
6.53,2005,4
6.55,2005,5
6.6,2005,6
6.58,2005,7
6.61,2005,8
6.59,2005,9
6.58,2005,10
6.59,2005,11
6.68,2005,12
5.74,2006,1
6.73,2006,2
6.75,2006,3
6.77,2006,4
6.86,2006,5
6.91,2006,6
6.98,2006,7
7.07,2006,8
7.11,2006,9
7.13,2006,10
7.21,2006,11
7.18,2006,12
7.02,2007,1
6.93,2007,2
6.92,2007,3
7,2007,4
7.03,2007,5
7.29,2007,6
7.65,2007,7
7.41,2007,8
7.62,2007,9
7.6,2007,10
7.52,2007,11
7.55,2007,12
7.43,2008,1
7.51,2008,2
7.48,2008,3
7.46,2008,4
7.11,2008,5
7.65,2008,6
7.7,2008,7
7.71,2008,8
7.77,2008,9
7.73,2008,10
7.71,2008,11
7.52,2008,12
7.54,2009,1
7.55,2009,2
7.53,2009,3
7.6,2009,4
7.68,2009,5
7.82,2009,6
7.79,2009,7
7.86,2009,8
7.83,2009,9
7.73,2009,10
7.73,2009,11
7.71,2009,12
7.69,2010,1
7.72,2010,2
7.75,2010,3
7.91,2010,4
8.12,2010,5
8.22,2010,6
8.23,2010,7
8.25,2010,8
8.35,2010,9
8.31,2010,10
8.23,2010,11
8.13,2010,12
8.03,2011,1
8.06,2011,2
8.06,2011,3
8.14,2011,4
8.27,2011,5
8.47,2011,6
8.48,2011,7
8.4,2011,8
8.52,2011,9
8.45,2011,10
8.44,2011,11
8.38,2011,12
8.37,2012,1
8.28,2012,2
8.35,2012,3
8.46,2012,4
8.52,2012,5
8.7,2012,6
8.7,2012,7
8.72,2012,8
8.79,2012,9
8.68,2012,10
8.61,2012,11
8.53,2012,12
8.5,2013,1
8.53,2013,2
8.51,2013,3
8.59,2013,4
8.69,2013,5
8.85,2013,6
8.9,2013,7
8.96,2013,8
9,2013,9
8.84,2013,10
8.73,2013,11
8.66,2013,12
8.52,2014,1
8.61,2014,2
8.64,2014,3
8.69,2014,4
8.89,2014,5
8.75,2014,6
8.93,2014,7
8.9,2014,8
8.92,2014,9
8.8,2014,10
8.61,2014,11
8.19,2014,12
8.13,2015,1
8.65,2015,2
8.67,2015,3
8.82,2015,4
8.89,2015,5
9.39,2015,6
9.34,2015,7
9.36,2015,8
9.37,2015,9
9.4,2015,10
9.37,2015,11
9.19,2015,12
9.07,2016,1
9.21,2016,2
9.22,2016,3
9.33,2016,4
9.54,2016,5
9.58,2016,6
9.6,2016,7
9.57,2016,8
5.68,2001,1
5.81,2001,2
5.91,2001,3
6.05,2001,4
6.18,2001,5
6.35,2001,6
6.26,2001,7
6.37,2001,8
6.29,2001,9
6.69,2001,10
7.08,2001,11
7.15,2001,12
7.1,2002,1
7.08,2002,2
7.21,2002,3
7.2,2002,4
7.1,2002,5
7.16,2002,6
7.14,2002,7
7.23,2002,8
7.16,2002,9
6.98,2002,10
7.08,2002,11
7,2002,12
7,2003,1
6.92,2003,2
7.01,2003,3
6.99,2003,4
7.07,2003,5
7.18,2003,6
7.17,2003,7
7.13,2003,8
7.1,2003,9
7.09,2003,10
7.09,2003,11
7.07,2003,12
7.15,2004,1
7.28,2004,2
7.1,2004,3
7.15,2004,4
7.19,2004,5
7.09,2004,6
7.18,2004,7
7.21,2004,8
7.17,2004,9
7.26,2004,10
7.22,2004,11
7.2,2004,12
7.21,2005,1
7.2,2005,2
7.19,2005,3
7.22,2005,4
7.18,2005,5
7.25,2005,6
7.25,2005,7
7.29,2005,8
7.24,2005,9
7.24,2005,10
7.35,2005,11
7.41,2005,12
7.03,2006,1
7.38,2006,2
7.37,2006,3
7.4,2006,4
7.54,2006,5
7.56,2006,6
7.64,2006,7
7.62,2006,8
7.68,2006,9
7.66,2006,10
7.63,2006,11
7.51,2006,12
7.69,2007,1
7.6,2007,2
7.65,2007,3
7.75,2007,4
7.8,2007,5
8.29,2007,6
8.78,2007,7
8.74,2007,8
8.84,2007,9
8.71,2007,10
8.57,2007,11
8.44,2007,12
8.45,2008,1
8.45,2008,2
8.52,2008,3
8.56,2008,4
8.34,2008,5
8.63,2008,6
8.64,2008,7
8.57,2008,8
8.71,2008,9
